,0
0,0.0006315587757853791
1,0.0006741724797757342
2,0.0005000713877961972
3,0.0007416728639509527
4,0.0006571577748400159
5,0.0005765644813072867
6,0.0010498572053620591
7,0.0005628475185949355
8,0.000831717768451199
